publication_number,title,abstract,Lemmatized-Abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2020093411A1,"Monitoring Devices, Systems, and Methods for Detecting Wetness in a Garment","A monitoring device for detecting wetness in a garment is disclosed. The monitoring device of the present disclosure includes a clip removably attachable to the garment and having a printed circuit board and a plurality of pins in communication with the printed circuit board, a portion of the plurality of pins extending through a portion of the clip, wherein the plurality of pins include a first pin, a second pin, and a third pin, the first pin and the second pin aligned along a first axis of the clip and the third pin aligned along a second axis of the clip, the second axis spaced from the first axis, wherein, with the clip attached to the garment, the printed circuit board is in communication with the garment via the plurality of pins. Transmitters having built-in delay mechanisms configured to delay transmitting operational data for a period of time are also disclosed. The operational data may include moisture data and detachment information. Methods for determining operational data for a monitoring device for detecting wetness in a garment are also disclosed.",monitoring device detecting wetness garment disclosed monitoring device present disclosure includes clip removably attachable garment printed circuit board plurality pin communication printed circuit board portion plurality pin extending portion clip wherein plurality pin include first pin second pin third pin first pin second pin aligned along first axis clip third pin aligned along second axis clip second axis spaced first axis wherein clip attached garment printed circuit board communication garment plurality pin transmitter builtin delay mechanism configured delay transmitting operational data period time disclosed operational data include moisture data detachment information method determining operational data monitoring device detecting wetness garment disclosed,"['G16H40/63', 'G16H40/67']","['G16H', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,5,1.0
US2013282170A1,Automatic pill dispenser,"A pill dispensing device includes a base with a top surface and a bottom surface, a transfer tray assembly coupled to the top surface of the base, a controller, and a plurality of vibrating tray assemblies. Each vibrating tray assembly couples to the top surface of the base and includes a pill tray, at least one spring support, a pill tray electric motor, and at least one optical sensor. The pill tray has an open end which is positioned above the transfer tray assembly. The at least one spring support is coupled between the top surface of the base and the pill tray. The pill tray electric motor couples to the pill tray and an offset weight. Each pill tray electric motor electrically couples to the controller. An optical sensor couples to the pill tray.",pill dispensing device includes base top surface bottom surface transfer tray assembly coupled top surface base controller plurality vibrating tray assembly vibrating tray assembly couple top surface base includes pill tray one spring support pill tray electric motor one optical sensor pill tray open end positioned transfer tray assembly one spring support coupled top surface base pill tray pill tray electric motor couple pill tray offset weight pill tray electric motor electrically couple controller optical sensor couple pill tray,"['G16H20/13', 'G16H20/13']","['G16H', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
US2014122129A1,System and Method for Automated Patient History Intake,"A system of automated patient history intake including a retrieval system for retrieving pharmaceutical information specific to a patient, a display system for displaying the pharmaceutical information, and a reconciliation system for reconciling the pharmaceutical information using visual data. A system for automated patient check-in including a retrieval system for retrieving pharmaceutical information specific to a patient, a display system for displaying the pharmaceutical information, and a reconciliation system for reconciling the pharmaceutical information using visual data.",system automated patient history intake including retrieval system retrieving pharmaceutical information specific patient display system displaying pharmaceutical information reconciliation system reconciling pharmaceutical information visual data system automated patient checkin including retrieval system retrieving pharmaceutical information specific patient display system displaying pharmaceutical information reconciliation system reconciling pharmaceutical information visual data,"['G16H10/60', 'G06Q10/06']","['G16H', 'G06Q']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
US2014113553A1,Methods for secure communication and pairing of a medical infusion device and a remote controller for such medical device,"A disease management system, methods, and devices are shown and described. In one embodiment, the system includes an infusion pump and a remote controller with the ability to be paired to each other and to confirm the authenticity of instructions sent to the infusion device from the remote controller. A method to verify a wireless connection between an infusion pump and a remote controller is shown and described herein. In addition, a method of operating a diabetes management system is provided in which the system includes an infusion pump and at least a remote controller.",disease management system method device shown described one embodiment system includes infusion pump remote controller ability paired confirm authenticity instruction sent infusion device remote controller method verify wireless connection infusion pump remote controller shown described addition method operating diabetes management system provided system includes infusion pump remote controller,"['H04B5/00', 'G16H40/67']","['H04B', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,5,1.0
US2014094745A1,Apparatus for Optimizing a Patient&#39;s Insulin Dosage Regimen,"An apparatus for optimizing a patient&#39;s insulin dosage regimen over time, comprising: at least a first computer-readable memory for storing data inputs corresponding at least to one or more components in a patient&#39;s present insulin dosage regimen and the patient&#39;s blood-glucose-level measurements determined at a plurality of times; a processor operatively connected to the at least first computer-readable memory, the processor programmed at least to determine from the data inputs corresponding to the patient&#39;s blood-glucose-level measurements determined at a plurality of times whether and by how much to vary at least one of the one or more components of the patient&#39;s present insulin dosage regimen in order to maintain the patient&#39;s future blood-glucose-level measurements within a predefined range; and a display operative to display information corresponding to at least the patient&#39;s present insulin dosage regimen.",apparatus optimizing patient insulin dosage regimen time comprising first computerreadable memory storing data input corresponding one component patient present insulin dosage regimen patient bloodglucoselevel measurement determined plurality time processor operatively connected first computerreadable memory processor programmed determine data input corresponding patient bloodglucoselevel measurement determined plurality time whether much vary one one component patient present insulin dosage regimen order maintain patient future bloodglucoselevel measurement predefined range display operative display information corresponding patient present insulin dosage regimen,"['G16H20/17', 'A61M5/142']","['G16H', 'A61M']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
US2014094663A1,"Apparatus, systems and methods for monitoring and evaluating cardiopulmonary functioning","Wearable apparatus for monitoring various physiological and environmental factors are provided. Real-time, noninvasive health and environmental monitors include a plurality of compact sensors integrated within small, low-profile devices, such as earpiece modules. Physiological and environmental data is collected and wirelessly transmitted into a wireless network, where the data is stored and/or processed.",wearable apparatus monitoring various physiological environmental factor provided realtime noninvasive health environmental monitor include plurality compact sensor integrated small lowprofile device earpiece module physiological environmental data collected wirelessly transmitted wireless network data stored andor processed,"['A61B5/00', 'G16H50/30']","['A61B', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
US2014081666A1,"Systems, methods, and devices to selectively present cumulative indicators of an individuals status over time","The invention is a system for detecting, monitoring, and reporting an individual&#39;s physiological or contextual status. The system works deriving a physiological or contextual status parameter of an individual using the system. The derivation utilizes two sensed parameters of the individual. The system is able to present the derived parameter in relation to any other sensed parameters, entered information, life activities data, or other derived data.",invention system detecting monitoring reporting individual physiological contextual status system work deriving physiological contextual status parameter individual system derivation utilizes two sensed parameter individual system able present derived parameter relation sensed parameter entered information life activity data derived data,"['G16H10/60', 'A61B5/7264']","['G16H', 'A61B']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
US2014067421A1,Data Synchronization Between Two or More Analyte Detecting Devices in a Database,"An analyte measurement system includes one or more handheld analyte meters and/or measurement devices and a means for collecting data, preserving data integrity, and uniquely identifying patient data received from multiple sources. For example, provided herein is a means to uniquely identify patients and their data when the data is collected from one or more measurement devices. By providing a way to allow the patients to use multiple sources to collect data, the system described herein provides patients with more flexibility, which should encourage better compliance to protocols. Further, by having a way to uniquely identify patients&#39; data without requiring a patient to only use one analyte meter, for example, data can be centralized and analysis can be done with more assurance that all of the patient&#39;s data is being considered in the analyses.",analyte measurement system includes one handheld analyte meter andor measurement device mean collecting data preserving data integrity uniquely identifying patient data received multiple source example provided mean uniquely identify patient data data collected one measurement device providing way allow patient multiple source collect data system described provides patient flexibility encourage better compliance protocol way uniquely identify patient data requiring patient one analyte meter example data centralized analysis assurance patient data considered analysis,"['G06F19/00', 'G16H40/63']","['G06F', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
US2014051948A1,Apparatus for physiological and environmental monitoring with optical and footstep sensors,"Wearable apparatus for monitoring various physiological and environmental factors are provided. Real-time, noninvasive health and environmental monitors include a plurality of compact sensors integrated within small, low-profile devices, such as earpiece modules. Physiological and environmental data is collected and wirelessly transmitted into a wireless network, where the data is stored and/or processed.",wearable apparatus monitoring various physiological environmental factor provided realtime noninvasive health environmental monitor include plurality compact sensor integrated small lowprofile device earpiece module physiological environmental data collected wirelessly transmitted wireless network data stored andor processed,"['A61B5/0205', 'G16H50/20']","['A61B', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
US2014039907A1,"Computer  program, method, and system for collecting patient data with a portable electronic device",A computer program for directing operation of a tablet computer or other portable electronic device operated by a caregiver while administering an in-home or outpatient treatment to a patient. The computer program comprises a code segment for receiving pre-treatment patient data representative of a condition of a patient before the patient receives a treatment; a code segment for receiving treatment patient data representative of a condition of the patient while or shortly after the patient receives the treatment; a code segment for transmitting at least some of the pre-treatment patient data and the treatment patient data from the portable electronic device to a remote computer while or shortly after the patient receives the treatment; and a code segment for receiving and displaying instructions from a doctor that are provided in response to the transmitted data.,computer program directing operation tablet computer portable electronic device operated caregiver administering inhome outpatient treatment patient computer program comprises code segment receiving pretreatment patient data representative condition patient patient receives treatment code segment receiving treatment patient data representative condition patient shortly patient receives treatment code segment transmitting pretreatment patient data treatment patient data portable electronic device remote computer shortly patient receives treatment code segment receiving displaying instruction doctor provided response transmitted data,"['G06Q10/06', 'G16H10/60']","['G06Q', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,5,1.0
